"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-W16;20-39;Påbegyndt vaccinationsforløb;0;69625;0,00
2021-W16;40-64;Forventet fuld effekt;3;120773;2,48
2021-W16;40-64;Ikke vaccineret;89;1646360;5,41
2021-W16;40-64;Påbegyndt vaccinationsforløb;2;138692;1,44
2021-W16;65-79;Forventet fuld effekt;3;104912;2,86
2021-W16;65-79;Ikke vaccineret;29;397710;7,29
2021-W16;65-79;Påbegyndt vaccinationsforløb;8;392562;2,04
2021-W16;80+;Forventet fuld effekt;6;147239;4,08
2021-W16;80+;Ikke vaccineret;1;19026;5,26
2021-W16;80+;Påbegyndt vaccinationsforløb;5;105501;4,74
2021-W17;12-15;Forventet fuld effekt;0;65;0,00
2021-W17;12-15;Ikke vaccineret;1;283525;0,35
2021-W17;12-15;Påbegyndt vaccinationsforløb;0;20;0,00
2021-W17;16-19;Forventet fuld effekt;0;2072;0,00
2021-W17;16-19;Ikke vaccineret;4;273494;1,46
2021-W17;16-19;Påbegyndt vaccinationsforløb;0;2599;0,00
2021-W17;20-39;Forventet fuld effekt;1;51751;1,93
2021-W17;20-39;Ikke vaccineret;46;1366975;3,37
2021-W17;20-39;Påbegyndt vaccinationsforløb;0;66572;0,00
2021-W17;40-64;Forventet fuld effekt;2;132682;1,51
2021-W17;40-64;Ikke vaccineret;104;1636745;6,35
2021-W17;40-64;Påbegyndt vaccinationsforløb;1;136399;0,73
2021-W17;65-79;Forventet fuld effekt;4;117804;3,40
2021-W17;65-79;Ikke vaccineret;20;256501;7,80
2021-W17;65-79;Påbegyndt vaccinationsforløb;15;520880;2,88
2021-W17;80+;Forventet fuld effekt;4;171219;2,34
2021-W17;80+;Ikke vaccineret;3;16815;17,84
2021-W17;80+;Påbegyndt vaccinationsforløb;1;83731;1,19
2021-W18;16-19;Forventet fuld effekt;0;2267;0,00
2021-W18;16-19;Ikke vaccineret;1;273319;0,37
2021-W18;16-19;Påbegyndt vaccinationsforløb;0;2579;0,00
2021-W18;20-39;Forventet fuld effekt;0;54597;0,00
2021-W18;20-39;Ikke vaccineret;44;1364699;3,22
2021-W18;20-39;Påbegyndt vaccinationsforløb;1;66002;1,52
2021-W18;40-64;Forventet fuld effekt;0;142393;0,00
2021-W18;40-64;Ikke vaccineret;110;1596275;6,89
2021-W18;40-64;Påbegyndt vaccinationsforløb;1;167157;0,60
2021-W18;65-79;Forventet fuld effekt;2;137947;1,45
2021-W18;65-79;Ikke vaccineret;14;163332;8,57
2021-W18;65-79;Påbegyndt vaccinationsforløb;13;593905;2,19
2021-W18;80+;Forventet fuld effekt;2;206143;0,97
2021-W18;80+;Ikke vaccineret;4;15267;26,20
2021-W18;80+;Påbegyndt vaccinationsforløb;2;50355;3,97
2021-W19;12-15;Forventet fuld effekt;0;68;0,00
2021-W19;12-15;Ikke vaccineret;1;283513;0,35
2021-W19;12-15;Påbegyndt vaccinationsforløb;0;29;0,00
2021-W19;16-19;Forventet fuld effekt;0;2444;0,00
2021-W19;16-19;Ikke vaccineret;9;273159;3,29
2021-W19;16-19;Påbegyndt vaccinationsforløb;0;2562;0,00
2021-W19;20-39;Forventet fuld effekt;2;57482;3,48
2021-W19;20-39;Ikke vaccineret;54;1362068;3,96
2021-W19;20-39;Påbegyndt vaccinationsforløb;0;65749;0,00
2021-W19;40-64;Forventet fuld effekt;4;150289;2,66
2021-W19;40-64;Ikke vaccineret;111;1518734;7,31
2021-W19;40-64;Påbegyndt vaccinationsforløb;5;236802;2,11
2021-W19;65-79;Forventet fuld effekt;8;185503;4,31
2021-W19;65-79;Ikke vaccineret;22;98937;22,24
2021-W19;65-79;Påbegyndt vaccinationsforløb;21;610744;3,44
2021-W19;80+;Forventet fuld effekt;4;228486;1,75
2021-W19;80+;Ikke vaccineret;4;14114;28,34
2021-W19;80+;Påbegyndt vaccinationsforløb;0;29165;0,00
2021-W20;16-19;Forventet fuld effekt;0;2758;0,00
2021-W20;16-19;Ikke vaccineret;2;272973;0,73
2021-W20;16-19;Påbegyndt vaccinationsforløb;0;2434;0,00
2021-W20;20-39;Forventet fuld effekt;1;65209;1,53
2021-W20;20-39;Ikke vaccineret;48;1359407;3,53
2021-W20;20-39;Påbegyndt vaccinationsforløb;1;60682;1,65
2021-W20;40-64;Forventet fuld effekt;0;166822;0,00
2021-W20;40-64;Ikke vaccineret;111;1378055;8,05
2021-W20;40-64;Påbegyndt vaccinationsforløb;4;360948;1,11
2021-W20;65-79;Forventet fuld effekt;1;307010;0,33
2021-W20;65-79;Ikke vaccineret;3;67098;4,47
2021-W20;65-79;Påbegyndt vaccinationsforløb;10;521076;1,92
2021-W20;80+;Forventet fuld effekt;0;241557;0,00
2021-W20;80+;Ikke vaccineret;1;13318;7,51
2021-W20;80+;Påbegyndt vaccinationsforløb;0;16890;0,00
2021-W21;12-15;Forventet fuld effekt;0;75;0,00
2021-W21;12-15;Ikke vaccineret;1;283466;0,35
2021-W21;12-15;Påbegyndt vaccinationsforløb;0;69;0,00
2021-W21;16-19;Forventet fuld effekt;0;3154;0,00
2021-W21;16-19;Ikke vaccineret;3;271496;1,10
2021-W21;16-19;Påbegyndt vaccinationsforløb;0;3516;0,00
2021-W21;20-39;Forventet fuld effekt;1;75412;1,33
2021-W21;20-39;Ikke vaccineret;45;1356718;3,32
2021-W21;20-39;Påbegyndt vaccinationsforløb;1;53167;1,88
2021-W21;40-64;Forventet fuld effekt;1;188892;0,53
2021-W21;40-64;Ikke vaccineret;93;1166890;7,97
2021-W21;40-64;Påbegyndt vaccinationsforløb;13;550042;2,36
2021-W21;65-79;Forventet fuld effekt;3;449418;0,67
2021-W21;65-79;Ikke vaccineret;7;52724;13,28
2021-W21;65-79;Påbegyndt vaccinationsforløb;8;393041;2,04
