"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
630;Vejle;50-59;3021;2022-01-31
657;Herning;50-59;2304;2022-01-31
661;Holstebro;50-59;1577;2022-01-31
665;Lemvig;50-59;574;2022-01-31
671;Struer;50-59;516;2022-01-31
706;Syddjurs;50-59;904;2022-01-31
707;Norddjurs;50-59;762;2022-01-31
710;Favrskov;50-59;1184;2022-01-31
727;Odder;50-59;611;2022-01-31
730;Randers;50-59;2500;2022-01-31
740;Silkeborg;50-59;2376;2022-01-31
741;Samsø;50-59;64;2022-01-31
746;Skanderborg;50-59;1844;2022-01-31
751;Århus;50-59;7958;2022-01-31
756;Ikast-Brande;50-59;1001;2022-01-31
760;Ringkøbing-Skjern;50-59;1270;2022-01-31
766;Hedensted;50-59;1228;2022-01-31
773;Morsø;50-59;530;2022-01-31
779;Skive;50-59;1194;2022-01-31
787;Thisted;50-59;996;2022-01-31
791;Viborg;50-59;2442;2022-01-31
810;Brønderslev;50-59;922;2022-01-31
813;Frederikshavn;50-59;1691;2022-01-31
820;Vesthimmerland;50-59;968;2022-01-31
825;Læsø;50-59;15;2022-01-31
840;Rebild;50-59;750;2022-01-31
846;Mariagerfjord;50-59;1145;2022-01-31
849;Jammerbugt;50-59;946;2022-01-31
851;Aalborg;50-59;4698;2022-01-31
860;Hjørring;50-59;1730;2022-01-31
;;60-69;383;2022-01-31
010;;60-69;1;2022-01-31
011;;60-69;71;2022-01-31
012;;60-69;2;2022-01-31
019;;60-69;13;2022-01-31
101;København;60-69;9110;2022-01-31
147;Frederiksberg;60-69;1709;2022-01-31
151;Ballerup;60-69;973;2022-01-31
153;Brøndby;60-69;895;2022-01-31
155;Dragør;60-69;360;2022-01-31
157;Gentofte;60-69;1585;2022-01-31
159;Gladsaxe;60-69;1336;2022-01-31
161;Glostrup;60-69;489;2022-01-31
163;Herlev;60-69;692;2022-01-31
165;Albertslund;60-69;554;2022-01-31
167;Hvidovre;60-69;1134;2022-01-31
169;Høje Tåstrup;60-69;989;2022-01-31
173;Lyngby-Taarbæk;60-69;1042;2022-01-31
175;Rødovre;60-69;930;2022-01-31
183;Ishøj;60-69;476;2022-01-31
185;Tårnby;60-69;985;2022-01-31
187;Vallensbæk;60-69;290;2022-01-31
190;Furesø;60-69;772;2022-01-31
201;Allerød;60-69;466;2022-01-31
