"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
169;20-39;6370;2022-01-31
173;20-39;4848;2022-01-31
175;20-39;4927;2022-01-31
183;20-39;3295;2022-01-31
185;20-39;4075;2022-01-31
187;20-39;1936;2022-01-31
190;20-39;2928;2022-01-31
201;20-39;1633;2022-01-31
210;20-39;3051;2022-01-31
217;20-39;4782;2022-01-31
219;20-39;4635;2022-01-31
223;20-39;1458;2022-01-31
230;20-39;3590;2022-01-31
240;20-39;3615;2022-01-31
250;20-39;3113;2022-01-31
253;20-39;4594;2022-01-31
259;20-39;5219;2022-01-31
260;20-39;2050;2022-01-31
265;20-39;7436;2022-01-31
269;20-39;2142;2022-01-31
270;20-39;2298;2022-01-31
306;20-39;1508;2022-01-31
316;20-39;5205;2022-01-31
320;20-39;2557;2022-01-31
326;20-39;2646;2022-01-31
329;20-39;2940;2022-01-31
330;20-39;6505;2022-01-31
336;20-39;1490;2022-01-31
340;20-39;1608;2022-01-31
350;20-39;1786;2022-01-31
360;20-39;2320;2022-01-31
370;20-39;6008;2022-01-31
376;20-39;4184;2022-01-31
390;20-39;2695;2022-01-31
400;20-39;1822;2022-01-31
410;20-39;1856;2022-01-31
420;20-39;2011;2022-01-31
430;20-39;2631;2022-01-31
440;20-39;1289;2022-01-31
450;20-39;1778;2022-01-31
461;20-39;22135;2022-01-31
479;20-39;3537;2022-01-31
480;20-39;1571;2022-01-31
482;20-39;413;2022-01-31
492;20-39;142;2022-01-31
510;20-39;3230;2022-01-31
530;20-39;1594;2022-01-31
540;20-39;3912;2022-01-31
550;20-39;1863;2022-01-31
561;20-39;9095;2022-01-31
563;20-39;96;2022-01-31
573;20-39;2975;2022-01-31
575;20-39;2557;2022-01-31
580;20-39;3042;2022-01-31
607;20-39;3287;2022-01-31
615;20-39;7089;2022-01-31
621;20-39;6064;2022-01-31
630;20-39;8557;2022-01-31
657;20-39;6303;2022-01-31
661;20-39;4446;2022-01-31
665;20-39;976;2022-01-31
671;20-39;979;2022-01-31
706;20-39;1853;2022-01-31
707;20-39;1759;2022-01-31
710;20-39;2734;2022-01-31
727;20-39;1077;2022-01-31
730;20-39;6548;2022-01-31
740;20-39;6401;2022-01-31
741;20-39;69;2022-01-31
746;20-39;3993;2022-01-31
751;20-39;44373;2022-01-31
756;20-39;2368;2022-01-31
760;20-39;2774;2022-01-31
766;20-39;2503;2022-01-31
773;20-39;1100;2022-01-31
779;20-39;2374;2022-01-31
787;20-39;2131;2022-01-31
791;20-39;5567;2022-01-31
810;20-39;2069;2022-01-31
813;20-39;3150;2022-01-31
820;20-39;2066;2022-01-31
825;20-39;19;2022-01-31
840;20-39;1877;2022-01-31
846;20-39;2369;2022-01-31
849;20-39;1955;2022-01-31
851;20-39;21511;2022-01-31
860;20-39;3734;2022-01-31
956;20-39;2;2022-01-31
961;20-39;1;2022-01-31
;40-64;2574;2022-01-31
010;40-64;1;2022-01-31
011;40-64;987;2022-01-31
012;40-64;23;2022-01-31
019;40-64;229;2022-01-31
101;40-64;60704;2022-01-31
147;40-64;10207;2022-01-31
151;40-64;5484;2022-01-31
153;40-64;4206;2022-01-31
155;40-64;1795;2022-01-31
157;40-64;9024;2022-01-31
159;40-64;7641;2022-01-31
161;40-64;2570;2022-01-31
163;40-64;3430;2022-01-31
165;40-64;3266;2022-01-31
167;40-64;6528;2022-01-31
169;40-64;5738;2022-01-31
173;40-64;5830;2022-01-31
175;40-64;4954;2022-01-31
183;40-64;2832;2022-01-31
185;40-64;5292;2022-01-31
187;40-64;1901;2022-01-31
190;40-64;4471;2022-01-31
201;40-64;2594;2022-01-31
210;40-64;4327;2022-01-31
217;40-64;6764;2022-01-31
219;40-64;5459;2022-01-31
223;40-64;2775;2022-01-31
230;40-64;6296;2022-01-31
240;40-64;4935;2022-01-31
